nom_commune,codes_postaux,code_insee,latitude,longitude
Barenton-sur-Serre,2270,2048,49.666667,3.683333
Bassoles-Aulers,2380,2052,49.533333,3.383333
Beaurieux,2160,2058,49.4,3.733333
Berlise,2340,2069,49.666667,4.116667
Berrieux,2820,2072,49.483333,3.85
Berry-au-Bac,2190,2073,49.4,3.9
Bertaucourt-Epourdon,2800,2074,49.616667,3.383333
Bertricourt,2190,2076,49.383333,4
Besny-et-Loizy,2870,2080,49.6,3.583333
Bièvres,2860,2088,49.5,3.716667
Bois-lès-Pargny,2270,2096,49.716667,3.65
Boncourt,2350,2097,49.616667,3.95
Bouffignereux,2160,2104,49.366667,3.85
Bourg-et-Comin,2160,2106,49.4,3.65
Brancourt-en-Laonnois,2320,2111,49.516667,3.416667
Braye-en-Laonnois,2000,2115,49.433333,3.616667
Brunehamel,2360,2126,49.766667,4.183333
Bruyères-et-Montbérault,2860,2128,49.516667,3.666667
Bucy-lès-Cerny,2870,2132,49.583333,3.516667
Bucy-lès-Pierrepont,2350,2133,49.65,3.9
Cerny-en-Laonnois,2860,2150,49.45,3.666667
Cerny-lès-Bucy,2870,2151,49.583333,3.533333
Cessières,2320,2153,49.566667,3.483333
Chaillevois,2000,2155,49.516667,3.516667
Chalandry,2270,2156,49.683333,3.633333
Chambry,2000,2157,49.6,3.65
Chamouille,2860,2158,49.466667,3.666667
Chaourse,2340,2160,49.7,4
Charmes,2800,2165,49.65,3.383333
Chaudardes,2160,2171,49.383333,3.783333
Chérêt,2860,2177,49.516667,3.683333
Chermizy-Ailles,2860,2178,49.466667,3.733333
Chéry-lès-Pouilly,2000,2180,49.65,3.6
Chéry-lès-Rozoy,2360,2181,49.716667,4.083333
Chevregny,2000,2183,49.466667,3.583333
Chivres-en-Laonnois,2350,2189,49.633333,3.85
Chivy-lès-Etouvelles,2000,2191,49.516667,3.583333
Clacy-et-Thierret,2000,2196,49.55,3.566667
Clermont-les-Fermes,2340,2200,49.666667,3.95
Colligis-Crandelain,2860,2205,49.483333,3.65
Concevreux,2160,2208,49.383333,3.783333
Condé-sur-Suippe,2190,2211,49.416667,3.95
Corbeny,2820,2215,49.466667,3.816667
Coucy-lès-Eppes,2840,2218,49.55,3.766667
Courbes,2800,2222,49.683333,3.45
Courtrizy-et-Fussigny,2820,2229,49.516667,3.8
Couvron-et-Aumencourt,2270,2231,49.65,3.516667
Craonne,2160,2234,49.433333,3.783333
Craonnelle,2160,2235,49.433333,3.766667
Crécy-sur-Serre,2270,2237,49.7,3.616667
Cuiry-lès-Chaudardes,2160,2250,49.383333,3.766667
Cuissy-et-Geny,2160,2252,49.416667,3.7
Dagny-Lambercy,2140,2256,49.766667,4.033333
Danizy,2800,2260,49.65,3.383333
Dercy,2270,2261,49.7,3.683333
Deuillet,2700,2262,49.633333,3.35
Dizy-le-Gros,2340,2264,49.633333,4.016667
Dohis,2360,2265,49.75,4.133333
Dolignon,2360,2266,49.716667,4.083333
Ebouleau,2350,2274,49.666667,3.866667
Eppes,2840,2282,49.55,3.733333
Etouvelles,2000,2294,49.533333,3.583333
Evergnicourt,2190,2299,49.433333,4.033333
Faucoucourt,2320,2301,49.533333,3.466667
Festieux,2840,2309,49.516667,3.75
Fourdrain,2870,2329,49.6,3.466667
Fressancourt,2800,2335,49.616667,3.416667
Gernicourt,2160,2344,49.4,3.866667
Gizy,2350,2346,49.6,3.766667
Grandrieux,2360,2354,49.733333,4.183333
Guignicourt,2190,2360,49.433333,3.966667
Guyencourt,2160,2364,49.35,3.833333
Jumigny,2160,2396,49.416667,3.716667
Juvincourt-et-Damary,2190,2399,49.45,3.9
La Fère,2800,2304,49.666667,3.366667
La Malmaison,2190,2454,49.516667,3.983333
Laniscourt,2000,2407,49.55,3.55
Laon,2000,2408,49.566667,3.616667
Lappion,2150,2409,49.616667,3.966667
La Selve,2150,2705,49.566667,4
Laval-en-Laonnois,2860,2413,49.5,3.6
Les Autels,2360,2038,49.766667,4.2257
Lierval,2860,2429,49.483333,3.616667
Lislet,2340,2433,49.683333,4.016667
Lizy,2320,2434,49.516667,3.466667
Lor,2190,2440,49.533333,4.05
Mâchecourt,2350,2448,49.658333,3.841667
Maizy,2160,2453,49.383333,3.733333
Marchais,2350,2457,49.583333,3.816667
Martigny-Courpierre,2860,2471,49.483333,3.683333
Mauregny-en-Haye,2820,2472,49.533333,3.8
Mayot,2800,2473,49.7,3.383333
Menneville,2190,2475,49.416667,4
Merlieux-et-Fouquerolles,2000,2478,49.516667,3.5
Mesbrecourt-Richecourt,2270,2480,49.7,3.55
Meurival,2160,2482,49.35,3.766667
Missy-lès-Pierrepont,2350,2486,49.633333,3.8
Molinchart,2000,2489,49.566667,3.533333
Monampteuil,2000,2490,49.483333,3.566667
Monceau-lès-Leups,2270,2492,49.666667,3.483333
Montaigu,2820,2498,49.533333,3.833333
Montbavin,2000,2499,49.533333,3.516667
Montchâlons,2860,2501,49.516667,3.733333
Monthenault,2860,2508,49.483333,3.666667
Montigny-sur-Crécy,2270,2517,49.716667,3.583333
Montloué,2340,2519,49.666667,4.066667
Morgny-en-Thiérache,2360,2526,49.766667,4.066667
Mortiers,2270,2529,49.683333,3.666667
Moulins,2160,2530,49.416667,3.683333
Moussy-Verneuil,2160,2531,49.416667,3.633333
Muscourt,2160,2534,49.366667,3.75
Neufchâtel-sur-Aisne,2190,2541,49.433333,4.033333
Neuville-sur-Ailette,2860,2550,49.466667,3.7
Nizy-le-Comte,2150,2553,49.566667,4.05
Noircourt,2340,2556,49.666667,4.1
Nouvion-et-Catillon,2270,2559,49.7,3.483333
Nouvion-le-Comte,2800,2560,49.683333,3.466667
Nouvion-le-Vineux,2860,2561,49.5,3.616667
OEuilly,2160,2565,49.383333,3.683333
Orainville,2190,2572,49.383333,4.016667
Orgeval,2860,2573,49.516667,3.7
Oulches-la-Vallée-Foulon,2160,2578,49.433333,3.75
Paissy,2160,2582,49.416667,3.7
Pancy-Courtecon,2860,2583,49.466667,3.65
Parfondeval,2360,2586,49.733333,4.166667
Parfondru,2840,2587,49.533333,3.716667
Pargnan,2160,2588,49.4,3.7
Pargny-les-Bois,2270,2591,49.716667,3.616667
Pignicourt,2190,2601,49.416667,4.033333
Pinon,2320,2602,49.483333,3.45
Pontavert,2160,2613,49.416667,3.816667
Pouilly-sur-Serre,2270,2617,49.683333,3.583333
Prémontré,2320,2619,49.55,3.4
Presles-et-Thierny,2860,2621,49.516667,3.616667
Prouvais,2190,2626,49.466667,3.983333
Proviseux-et-Plesnoy,2190,2627,49.466667,4
Raillimont,2360,2634,49.708333,4.15
Remies,2270,2638,49.683333,3.533333
Renneval,2340,2641,49.733333,4.05
Résigny,2360,2642,49.733333,4.2
Rogécourt,2800,2651,49.633333,3.416667
